_id,Word,Type
ObjectId("5ced7b0ec199633b78c34bc3"),автогаража,Именка
ObjectId("5ced7b10c199633b78c34bc4"),автогол,Именка
ObjectId("5ced7b12c199633b78c34bc5"),автограм,Именка
ObjectId("5ced7b14c199633b78c34bc6"),автограф,Именка
ObjectId("5ced7b14c199633b78c34bc7"),автодидакт,Именка
ObjectId("5ced7b15c199633b78c34bc8"),автодидактика,Именка
ObjectId("5ced7b16c199633b78c34bc9"),автодром,Именка
ObjectId("5ced7b16c199633b78c34bca"),автоелектричар,Именка
ObjectId("5ced7b17c199633b78c34bcb"),автоимун,Придавка
ObjectId("5ced7b18c199633b78c34bcc"),автокамп,Именка
ObjectId("5ced7b18c199633b78c34bcd"),автокефален,Придавка
ObjectId("5ced7b1ac199633b78c34bce"),автокефалија,Именка
ObjectId("5ced7b1ac199633b78c34bcf"),автокефалност,Именка
ObjectId("5ced7b1bc199633b78c34bd0"),автоклуб,Именка
ObjectId("5ced7b1bc199633b78c34bd1"),автокоманда,Именка
ObjectId("5ced7b1cc199633b78c34bd2"),автократ,Именка
ObjectId("5ced7b1dc199633b78c34bd3"),автократизам,Именка
ObjectId("5ced7b1dc199633b78c34bd4"),автократија,Именка
ObjectId("5ced7b1ec199633b78c34bd5"),автолимар,Именка
ObjectId("5ced7b1ec199633b78c34bd6"),автомат,Именка
ObjectId("5ced7b1fc199633b78c34bd7"),автоматизам,Именка
ObjectId("5ced7b20c199633b78c34bd8"),автоматизација,Именка
ObjectId("5ced7b21c199633b78c34bd9"),автоматизира,Глагол
ObjectId("5ced7b21c199633b78c34bda"),автоматизиран,Придавка
ObjectId("5ced7b23c199633b78c34bdb"),автоматски,Прилог
ObjectId("5ced7b23c199633b78c34bdc"),автоматски,Придавка
ObjectId("5ced7b25c199633b78c34bdd"),автомеханика,Именка
ObjectId("5ced7b25c199633b78c34bde"),автомеханичар,Именка
ObjectId("5ced7b27c199633b78c34bdf"),автомобил,Именка
ObjectId("5ced7b28c199633b78c34be0"),автомобилизам,Именка
ObjectId("5ced7b28c199633b78c34be1"),автомобилист,Именка
ObjectId("5ced7b2ac199633b78c34be2"),автономен,Придавка
ObjectId("5ced7b2bc199633b78c34be3"),автономизам,Именка
ObjectId("5ced7b2cc199633b78c34be4"),автономизира,Глагол
ObjectId("5ced7b2cc199633b78c34be5"),автономија,Именка
ObjectId("5ced7b2dc199633b78c34be6"),автономист,Именка
ObjectId("5ced7b2fc199633b78c34be7"),автопаркинг,Именка
ObjectId("5ced7b30c199633b78c34be8"),автопат,Именка
ObjectId("5ced7b30c199633b78c34be9"),автопералница,Именка
ObjectId("5ced7b30c199633b78c34bea"),автопортрет,Именка
ObjectId("5ced7b31c199633b78c34beb"),автопревозник,Именка
ObjectId("5ced7b34c199633b78c34bec"),автоприколка,Именка
ObjectId("5ced7b35c199633b78c34bed"),автор,Именка
ObjectId("5ced7b35c199633b78c34bee"),авторемонт,Именка
ObjectId("5ced7b36c199633b78c34bef"),авторизација,Именка
ObjectId("5ced7b36c199633b78c34bf0"),авторизира,Глагол
ObjectId("5ced7b38c199633b78c34bf1"),авторизиран,Придавка
ObjectId("5ced7b38c199633b78c34bf2"),авторитарен,Придавка
ObjectId("5ced7b39c199633b78c34bf3"),авторитативен,Придавка
ObjectId("5ced7b39c199633b78c34bf4"),авторитет,Именка
ObjectId("5ced7b3ac199633b78c34bf5"),авторитетен,Придавка
ObjectId("5ced7b3cc199633b78c34bf6"),авторов,Придавка
ObjectId("5ced7b3cc199633b78c34bf7"),авторски,Придавка
ObjectId("5ced7b3dc199633b78c34bf8"),авторство,Именка
ObjectId("5ced7b3dc199633b78c34bf9"),автосервис,Именка
ObjectId("5ced7b3ec199633b78c34bfa"),автостоп,Именка
ObjectId("5ced7b3fc199633b78c34bfb"),автостопер,Именка
ObjectId("5ced7b40c199633b78c34bfc"),автостопира,Глагол
ObjectId("5ced7b40c199633b78c34bfd"),автострада,Именка
ObjectId("5ced7b41c199633b78c34bfe"),автосугестивен,Придавка
ObjectId("5ced7b42c199633b78c34bff"),автосугестија,Именка
ObjectId("5ced7b43c199633b78c34c00"),автотранспорт,Именка
ObjectId("5ced7b44c199633b78c34c01"),автотранспортен,Придавка
ObjectId("5ced7b44c199633b78c34c02"),автохипноза,Именка
ObjectId("5ced7b45c199633b78c34c03"),автохтон,Придавка
ObjectId("5ced7b45c199633b78c34c04"),автоцензура,Именка
ObjectId("5ced7b47c199633b78c34c05"),автошкола,Именка
ObjectId("5ced7b48c199633b78c34c06"),ага,Именка
ObjectId("5ced7b48c199633b78c34c07"),агалак,Именка
ObjectId("5ced7b49c199633b78c34c08"),агале,Прилог
ObjectId("5ced7b4ac199633b78c34c09"),агенда,Именка
ObjectId("5ced7b4bc199633b78c34c0a"),агенс,Именка
ObjectId("5ced7b4cc199633b78c34c0b"),агент,Именка
ObjectId("5ced7b4dc199633b78c34c0c"),агентура,Именка
ObjectId("5ced7b4dc199633b78c34c0d"),агенција,Именка
ObjectId("5ced7b4ec199633b78c34c0e"),агилен,Придавка
ObjectId("5ced7b4fc199633b78c34c0f"),агин,Придавка
ObjectId("5ced7b50c199633b78c34c10"),агинка,Именка
ObjectId("5ced7b51c199633b78c34c11"),агитатор,Именка
ObjectId("5ced7b51c199633b78c34c12"),агитација,Именка
ObjectId("5ced7b51c199633b78c34c13"),агитира,Глагол
ObjectId("5ced7b53c199633b78c34c14"),агитпроп,Именка
ObjectId("5ced7b54c199633b78c34c15"),агитпроповски,Придавка
ObjectId("5ced7b54c199633b78c34c16"),агица,Именка
ObjectId("5ced7b55c199633b78c34c17"),аглест,Придавка
ObjectId("5ced7b57c199633b78c34c18"),агломер,Именка
ObjectId("5ced7b59c199633b78c34c19"),агломерат,Именка
ObjectId("5ced7b59c199633b78c34c1a"),агломерација,Именка
ObjectId("5ced7b5ac199633b78c34c1b"),аглутинација,Именка
ObjectId("5ced7b5ac199633b78c34c1c"),агностик,Именка
ObjectId("5ced7b5bc199633b78c34c1d"),агностика,Именка
ObjectId("5ced7b5cc199633b78c34c1e"),агностицизам,Именка
ObjectId("5ced7b5dc199633b78c34c1f"),агов,Придавка
ObjectId("5ced7b5ec199633b78c34c20"),аговина,Именка
ObjectId("5ced7b5ec199633b78c34c21"),аговски,Придавка
ObjectId("5ced7b5fc199633b78c34c22"),агол,Именка
ObjectId("5ced7b61c199633b78c34c23"),аголен,Придавка
ObjectId("5ced7b61c199633b78c34c24"),агонија,Именка
ObjectId("5ced7b62c199633b78c34c25"),агора,Именка
ObjectId("5ced7b63c199633b78c34c26"),агравација,Именка
ObjectId("5ced7b64c199633b78c34c27"),аграр,Именка
ObjectId("5ced7b66c199633b78c34c28"),аграрен,Придавка
ObjectId("5ced7b66c199633b78c34c29"),агрегат,Именка
ObjectId("5ced7b67c199633b78c34c2a"),агрегатен,Придавка
ObjectId("5ced7b67c199633b78c34c2b"),агреман,Именка
ObjectId("5ced7b68c199633b78c34c2c"),агресивен,Придавка
ObjectId("5ced7b6ac199633b78c34c2d"),агресивец,Именка
